# A B A' B' AB AA' BB' A'B'
0 16576 0 13169 0 0 0 325
0 15154 0 11899 0 0 0 308
0 15025 0 11854 0 0 0 295
0 15037 0 11860 0 0 0 302
0 14804 0 12062 0 0 0 273
0 14694 0 11977 0 0 0 316
0 14243 0 11612 0 0 0 312
0 14613 0 11750 0 0 0 270
0 14478 0 11391 0 0 0 286
0 14360 0 11427 0 0 0 288
0 16028 0 11546 0 0 0 266
0 16039 0 13007 0 0 0 303
0 16118 0 12543 0 0 0 274
0 16169 0 12912 0 0 0 283
0 16028 0 12901 0 0 0 302
0 16137 0 12617 0 0 0 302
0 16030 0 12776 0 0 0 310
0 16094 0 13000 0 0 0 276
0 15817 0 12838 0 0 0 377
0 15831 0 12800 0 0 0 315
0 15965 0 12651 0 0 0 329
0 14438 0 11484 0 0 0 305
0 14503 0 11387 0 0 0 269
0 14206 0 11715 0 0 0 327
0 14342 0 11483 0 0 0 273
0 14213 0 11642 0 0 0 276
0 14410 0 11411 0 0 0 296
0 14451 0 11664 0 0 0 301
0 14387 0 11601 0 0 0 324
0 14600 0 11546 0 0 0 279
0 14645 0 11478 0 0 0 328
0 14397 0 11600 0 0 0 297
0 14687 0 11393 0 0 0 283
0 14514 0 11570 0 0 0 288
0 14262 0 11421 0 0 0 310
0 14411 0 11548 0 0 0 282
0 14301 0 11737 0 0 0 301
0 14616 0 11605 0 0 0 309
0 14299 0 11641 0 0 0 290
0 14431 0 11580 0 0 0 289
0 14881 0 11682 0 0 0 305
0 14455 0 11642 0 0 0 278
0 14533 0 11450 0 0 0 312
0 14407 0 11586 0 0 0 263
0 14381 0 11801 0 0 0 296
0 14192 0 11509 0 0 0 298
0 14475 0 11522 0 0 0 289
0 14184 0 11622 0 0 0 276
0 14578 0 11403 0 0 0 312
0 14624 0 11452 0 0 0 283
0 14411 0 11683 0 0 0 295
0 14724 0 11440 0 0 0 280
0 14480 0 11535 0 0 0 311
0 14613 0 11437 0 0 0 291
0 14369 0 11674 0 0 0 303
0 14692 0 11503 0 0 0 286
0 14657 0 11410 0 0 0 285
0 14457 0 11567 0 0 0 348
0 14517 0 11599 0 0 0 293
0 14234 0 11441 0 0 0 292
