# A B A' B' AB AA' BB' A'B'
0 16270 0 13739 0 0 0 286
0 14706 0 12095 0 0 0 280
0 14955 0 12123 0 0 0 249
0 14838 0 12459 0 0 0 254
0 14789 0 12146 0 0 0 258
0 14360 0 12116 0 0 0 247
0 14355 0 12188 0 0 0 282
0 13836 0 12128 0 0 0 263
0 13613 0 11672 0 0 0 245
0 13350 0 11912 0 0 0 255
0 13138 0 11688 0 0 0 240
0 13225 0 11537 0 0 0 250
0 13367 0 11676 0 0 0 235
0 13452 0 11641 0 0 0 277
0 13410 0 11493 0 0 0 259
0 13396 0 11691 0 0 0 244
0 13317 0 11864 0 0 0 231
0 13603 0 11760 0 0 0 284
0 13451 0 11823 0 0 0 263
0 13370 0 11767 0 0 0 255
0 13454 0 11804 0 0 0 238
0 13710 0 11673 0 0 0 283
0 13835 0 11963 0 0 0 231
0 13962 0 11877 0 0 0 244
0 14169 0 11846 0 0 0 270
0 13899 0 11974 0 0 0 238
0 13850 0 12104 0 0 0 248
0 13822 0 12000 0 0 0 263
0 13840 0 11906 0 0 0 264
0 13855 0 11984 0 0 0 251
0 13831 0 11849 0 0 0 233
0 13774 0 12031 0 0 0 273
0 13799 0 11725 0 0 0 248
0 13957 0 11917 0 0 0 255
0 13975 0 11789 0 0 0 257
0 13736 0 11822 0 0 0 300
0 13912 0 11887 0 0 0 219
0 13747 0 11808 0 0 0 257
0 13838 0 11789 0 0 0 268
0 13872 0 11924 0 0 0 271
0 13857 0 11945 0 0 0 235
0 13832 0 11703 0 0 0 262
0 13813 0 11992 0 0 0 274
0 15292 0 11877 0 0 0 264
0 15067 0 11970 0 0 0 283
0 15317 0 11861 0 0 0 268
0 15158 0 12029 0 0 0 249
0 15285 0 13133 0 0 0 264
0 15185 0 13253 0 0 0 272
0 15063 0 13175 0 0 0 245
0 15248 0 13102 0 0 0 260
0 15618 0 13298 0 0 0 254
0 15334 0 13252 0 0 0 277
0 15837 0 13412 0 0 0 279
0 16040 0 13575 0 0 0 292
0 15031 0 12291 0 0 0 248
0 14816 0 12309 0 0 0 242
0 13975 0 11919 0 0 0 252
0 14252 0 12037 0 0 0 249
0 14049 0 12083 0 0 0 275
