# A B A' B' AB AA' BB' A'B'
0 25639 0 13730 0 0 0 50
0 21856 0 12002 0 0 0 40
0 21504 0 11885 0 0 0 26
0 21482 0 11751 0 0 0 30
0 21102 0 11751 0 0 0 35
0 21356 0 11779 0 0 0 44
0 21523 0 11762 0 0 0 34
0 21211 0 11427 0 0 0 36
0 21595 0 11440 0 0 0 31
0 21245 0 11855 0 0 0 25
0 21753 0 11866 0 0 0 36
0 21673 0 12163 0 0 0 38
0 21306 0 11872 0 0 0 41
0 21544 0 11920 0 0 0 36
0 21634 0 11770 0 0 0 50
0 21450 0 11832 0 0 0 38
0 21371 0 11700 0 0 0 35
0 21524 0 11710 0 0 0 36
0 21314 0 12039 0 0 0 33
0 21500 0 11729 0 0 0 39
0 21493 0 11753 0 0 0 28
0 21543 0 11506 0 0 0 33
0 21763 0 11890 0 0 0 39
0 23768 0 11745 0 0 0 39
0 23981 0 11709 0 0 0 39
0 24147 0 11871 0 0 0 33
0 24180 0 11708 0 0 0 29
0 24114 0 12971 0 0 0 30
0 24266 0 13184 0 0 0 30
0 23969 0 13066 0 0 0 26
0 23879 0 13241 0 0 0 35
0 24159 0 13145 0 0 0 38
0 24019 0 13037 0 0 0 33
0 24143 0 13193 0 0 0 38
0 23779 0 12898 0 0 0 24
0 23853 0 13170 0 0 0 29
0 24192 0 13103 0 0 0 40
0 23760 0 13278 0 0 0 36
0 21282 0 11908 0 0 0 40
0 21402 0 11698 0 0 0 32
0 21322 0 11831 0 0 0 39
0 21576 0 11725 0 0 0 38
0 21431 0 11611 0 0 0 39
0 21426 0 11781 0 0 0 45
0 21659 0 11560 0 0 0 28
0 21220 0 11583 0 0 0 28
0 21467 0 11643 0 0 0 38
0 21527 0 11539 0 0 0 30
0 21346 0 11760 0 0 0 31
0 21880 0 12016 0 0 0 34
0 21411 0 11809 0 0 0 32
0 21795 0 11923 0 0 0 37
0 21194 0 11831 0 0 0 40
0 21778 0 11680 0 0 0 38
0 21556 0 11848 0 0 0 35
0 21520 0 11674 0 0 0 22
0 21431 0 11759 0 0 0 32
0 21603 0 11819 0 0 0 34
0 21562 0 12010 0 0 0 27
0 21562 0 11871 0 0 0 30
