# A B A' B' AB AA' BB' A'B'
0 23943 0 15049 0 0 0 106
0 21378 0 13392 0 0 0 100
0 21013 0 13142 0 0 0 99
0 20950 0 13357 0 0 0 86
0 20989 0 12909 0 0 0 86
0 21176 0 13191 0 0 0 79
0 21285 0 13026 0 0 0 109
0 21078 0 13164 0 0 0 90
0 23578 0 13155 0 0 0 74
0 23240 0 13130 0 0 0 85
0 23390 0 14534 0 0 0 93
0 23326 0 14893 0 0 0 99
0 23607 0 14461 0 0 0 117
0 23387 0 14435 0 0 0 116
0 21097 0 13140 0 0 0 119
0 21063 0 13144 0 0 0 96
0 21095 0 13208 0 0 0 100
0 20900 0 13274 0 0 0 100
0 21281 0 12983 0 0 0 112
0 21339 0 13336 0 0 0 102
0 21047 0 13316 0 0 0 113
0 21067 0 12894 0 0 0 93
0 21293 0 13174 0 0 0 98
0 21467 0 13092 0 0 0 92
0 21186 0 13040 0 0 0 103
0 20931 0 13023 0 0 0 86
0 20999 0 13213 0 0 0 94
0 21295 0 13075 0 0 0 93
0 21364 0 13287 0 0 0 96
0 20976 0 13280 0 0 0 89
0 21286 0 13285 0 0 0 89
0 21358 0 13422 0 0 0 88
0 21095 0 13229 0 0 0 86
0 21352 0 13219 0 0 0 107
0 21025 0 13021 0 0 0 97
0 21119 0 13251 0 0 0 101
0 21281 0 12871 0 0 0 83
0 21299 0 13344 0 0 0 105
0 21075 0 13057 0 0 0 111
0 21195 0 13041 0 0 0 95
0 21147 0 13038 0 0 0 88
0 21230 0 12993 0 0 0 100
0 21067 0 13223 0 0 0 93
0 21099 0 13129 0 0 0 99
0 20264 0 13013 0 0 0 102
0 20351 0 13047 0 0 0 83
0 20345 0 13037 0 0 0 89
0 20608 0 13270 0 0 0 107
0 20876 0 13059 0 0 0 103
0 20117 0 13103 0 0 0 106
0 20304 0 12956 0 0 0 98
0 20812 0 12833 0 0 0 117
0 20268 0 12884 0 0 0 98
0 20694 0 12862 0 0 0 100
0 20492 0 13074 0 0 0 92
0 20507 0 12843 0 0 0 87
0 19839 0 12886 0 0 0 97
0 20404 0 12903 0 0 0 90
0 20515 0 12934 0 0 0 102
0 20091 0 12862 0 0 0 99
