# A B A' B' AB AA' BB' A'B'
0 15997 0 13583 0 0 0 319
0 14397 0 12121 0 0 0 300
0 14395 0 11989 0 0 0 296
0 14196 0 11960 0 0 0 281
0 14214 0 11994 0 0 0 308
0 14183 0 12161 0 0 0 299
0 14448 0 12063 0 0 0 299
0 14047 0 12098 0 0 0 291
0 14101 0 11846 0 0 0 291
0 14335 0 12165 0 0 0 322
0 14232 0 11885 0 0 0 286
0 14179 0 12195 0 0 0 302
0 14221 0 12108 0 0 0 273
0 13169 0 11972 0 0 0 289
0 12940 0 11697 0 0 0 313
0 13357 0 11780 0 0 0 299
0 13459 0 11843 0 0 0 312
0 13288 0 11684 0 0 0 297
0 13092 0 11599 0 0 0 278
0 13257 0 11933 0 0 0 313
0 13113 0 11669 0 0 0 326
0 13318 0 11723 0 0 0 311
0 13420 0 11522 0 0 0 305
0 13051 0 11645 0 0 0 321
0 13358 0 11704 0 0 0 305
0 13460 0 11784 0 0 0 327
0 13496 0 11781 0 0 0 337
0 13185 0 11607 0 0 0 309
0 13414 0 11695 0 0 0 324
0 13218 0 11572 0 0 0 318
0 14764 0 11526 0 0 0 331
0 14862 0 11864 0 0 0 291
0 14898 0 11827 0 0 0 309
0 14573 0 12814 0 0 0 293
0 14649 0 12965 0 0 0 308
0 14887 0 12984 0 0 0 291
0 14917 0 13086 0 0 0 314
0 14704 0 12882 0 0 0 317
0 14838 0 12976 0 0 0 308
0 14803 0 13013 0 0 0 317
0 14711 0 13013 0 0 0 362
0 15343 0 13019 0 0 0 330
0 13905 0 11718 0 0 0 308
0 13646 0 11711 0 0 0 303
0 13768 0 11547 0 0 0 314
0 13520 0 11712 0 0 0 282
0 13493 0 11299 0 0 0 301
0 13763 0 11725 0 0 0 313
0 13851 0 11649 0 0 0 316
0 13613 0 11574 0 0 0 287
0 13575 0 11611 0 0 0 305
0 13718 0 11717 0 0 0 306
0 13440 0 11363 0 0 0 254
0 13612 0 11570 0 0 0 300
0 13864 0 11722 0 0 0 312
0 13561 0 11734 0 0 0 328
0 13754 0 11688 0 0 0 289
0 13767 0 11610 0 0 0 285
0 13519 0 11552 0 0 0 316
0 13806 0 11537 0 0 0 326
