# A B A' B' AB AA' BB' A'B'
0 23265 0 13315 0 0 0 42
0 22818 0 12976 0 0 0 59
0 23104 0 13000 0 0 0 46
0 20121 0 11713 0 0 0 48
0 20780 0 11874 0 0 0 60
0 20556 0 11808 0 0 0 44
0 20679 0 11683 0 0 0 56
0 20796 0 11684 0 0 0 46
0 20465 0 11878 0 0 0 39
0 20529 0 11423 0 0 0 41
0 20660 0 11485 0 0 0 52
0 20505 0 11784 0 0 0 52
0 20802 0 11813 0 0 0 49
0 20545 0 11670 0 0 0 51
0 20705 0 11619 0 0 0 58
0 20584 0 11752 0 0 0 58
0 20452 0 11686 0 0 0 43
0 20440 0 11621 0 0 0 60
0 20642 0 11745 0 0 0 58
0 20304 0 11638 0 0 0 47
0 20500 0 11717 0 0 0 54
0 20545 0 11573 0 0 0 52
0 20302 0 11570 0 0 0 41
0 20438 0 11668 0 0 0 54
0 20750 0 11669 0 0 0 48
0 20510 0 11743 0 0 0 56
0 20970 0 11683 0 0 0 44
0 20488 0 11852 0 0 0 52
0 20595 0 11797 0 0 0 43
0 20500 0 12029 0 0 0 52
0 20877 0 11613 0 0 0 40
0 20675 0 11699 0 0 0 58
0 20485 0 11638 0 0 0 66
0 20339 0 11768 0 0 0 45
0 20559 0 11710 0 0 0 49
0 20861 0 11704 0 0 0 46
0 20506 0 11865 0 0 0 51
0 20610 0 11647 0 0 0 45
0 20490 0 11796 0 0 0 47
0 20347 0 11612 0 0 0 55
0 20481 0 11726 0 0 0 33
0 20353 0 11757 0 0 0 54
0 20561 0 11609 0 0 0 40
0 20335 0 11873 0 0 0 45
0 20540 0 11689 0 0 0 42
0 22524 0 11646 0 0 0 45
0 22864 0 11653 0 0 0 41
0 22866 0 11760 0 0 0 43
0 22998 0 12929 0 0 0 63
0 22763 0 13154 0 0 0 43
0 22947 0 13039 0 0 0 50
0 22432 0 12805 0 0 0 50
0 23158 0 12844 0 0 0 51
0 22847 0 13277 0 0 0 55
0 22880 0 13054 0 0 0 48
0 22868 0 13189 0 0 0 53
0 20734 0 11631 0 0 0 48
0 20414 0 11750 0 0 0 46
0 20384 0 11638 0 0 0 52
0 20662 0 11721 0 0 0 43
