# A B A' B' AB AA' BB' A'B'
0 21218 0 13535 0 0 0 204
0 19369 0 12261 0 0 0 185
0 18551 0 12010 0 0 0 162
0 18380 0 11961 0 0 0 203
0 18832 0 11741 0 0 0 183
0 19049 0 11864 0 0 0 188
0 18600 0 11678 0 0 0 193
0 18469 0 11566 0 0 0 159
0 18885 0 11834 0 0 0 186
0 18946 0 11613 0 0 0 201
0 20839 0 11826 0 0 0 180
0 20900 0 11793 0 0 0 182
0 20945 0 12038 0 0 0 188
0 20583 0 13208 0 0 0 181
0 20704 0 13116 0 0 0 193
0 20750 0 13086 0 0 0 209
0 20957 0 12950 0 0 0 184
0 20877 0 13023 0 0 0 163
0 20700 0 12958 0 0 0 174
0 20923 0 12835 0 0 0 185
0 20873 0 12923 0 0 0 191
0 20691 0 12867 0 0 0 189
0 20595 0 12970 0 0 0 183
0 20824 0 13054 0 0 0 192
0 18797 0 11702 0 0 0 187
0 18958 0 11738 0 0 0 178
0 18689 0 11806 0 0 0 185
0 18715 0 11942 0 0 0 169
0 18565 0 11781 0 0 0 203
0 18529 0 11781 0 0 0 174
0 18451 0 11514 0 0 0 193
0 18771 0 11787 0 0 0 197
0 18772 0 11713 0 0 0 182
0 18660 0 11621 0 0 0 185
0 19146 0 11689 0 0 0 182
0 18515 0 12001 0 0 0 203
0 18740 0 11682 0 0 0 173
0 18817 0 11558 0 0 0 175
0 18411 0 11539 0 0 0 158
0 18761 0 11755 0 0 0 173
0 18527 0 11661 0 0 0 183
0 18758 0 11812 0 0 0 187
0 18635 0 11826 0 0 0 191
0 18529 0 11786 0 0 0 179
0 18791 0 11671 0 0 0 181
0 18874 0 11764 0 0 0 186
0 18805 0 11835 0 0 0 202
0 18525 0 11887 0 0 0 184
0 18606 0 11734 0 0 0 199
0 18943 0 11868 0 0 0 148
0 18479 0 11734 0 0 0 182
0 18637 0 11562 0 0 0 199
0 18732 0 11654 0 0 0 203
0 18660 0 11660 0 0 0 191
0 18795 0 11699 0 0 0 179
0 18791 0 11736 0 0 0 168
0 18898 0 11732 0 0 0 185
0 18533 0 11852 0 0 0 202
0 18676 0 11760 0 0 0 202
0 18853 0 11529 0 0 0 219
