# A B A' B' AB AA' BB' A'B'
0 16197 0 15786 0 0 0 246
0 14782 0 14247 0 0 0 233
0 14099 0 13594 0 0 0 219
0 13876 0 13583 0 0 0 237
0 13722 0 13226 0 0 0 218
0 13494 0 13261 0 0 0 195
0 13049 0 13369 0 0 0 210
0 13217 0 13200 0 0 0 225
0 13079 0 13389 0 0 0 186
0 13457 0 13057 0 0 0 206
0 13216 0 13339 0 0 0 215
0 13311 0 13092 0 0 0 198
0 13195 0 13088 0 0 0 196
0 13148 0 13188 0 0 0 247
0 13353 0 13151 0 0 0 214
0 13321 0 12997 0 0 0 203
0 13379 0 13028 0 0 0 215
0 13484 0 12928 0 0 0 207
0 13257 0 13135 0 0 0 176
0 13580 0 13273 0 0 0 228
0 13138 0 12929 0 0 0 208
0 13233 0 13055 0 0 0 203
0 13438 0 13367 0 0 0 198
0 13335 0 13059 0 0 0 235
0 13419 0 13093 0 0 0 219
0 13227 0 13165 0 0 0 196
0 13157 0 13061 0 0 0 197
0 13354 0 13097 0 0 0 195
0 13220 0 13046 0 0 0 233
0 13355 0 13370 0 0 0 224
0 13420 0 13161 0 0 0 258
0 14681 0 13137 0 0 0 235
0 15173 0 13106 0 0 0 226
0 14680 0 13033 0 0 0 207
0 15005 0 13275 0 0 0 218
0 14671 0 14738 0 0 0 210
0 14545 0 14690 0 0 0 218
0 14793 0 14633 0 0 0 215
0 14817 0 14636 0 0 0 232
0 14843 0 14702 0 0 0 220
0 14849 0 14713 0 0 0 195
0 14815 0 14486 0 0 0 201
0 14697 0 14776 0 0 0 225
0 14915 0 14718 0 0 0 251
0 13276 0 13184 0 0 0 224
0 13633 0 13145 0 0 0 222
0 13186 0 13005 0 0 0 236
0 13341 0 13164 0 0 0 223
0 13609 0 12976 0 0 0 227
0 13242 0 13275 0 0 0 215
0 13441 0 13114 0 0 0 223
0 13324 0 12973 0 0 0 195
0 13447 0 12979 0 0 0 239
0 13220 0 13014 0 0 0 205
0 13329 0 13239 0 0 0 203
0 13504 0 13007 0 0 0 218
0 13306 0 13316 0 0 0 229
0 13274 0 13083 0 0 0 204
0 13560 0 13170 0 0 0 200
0 13184 0 13228 0 0 0 214
