# A B A' B' AB AA' BB' A'B'
0 17486 0 15968 0 0 0 327
0 15605 0 14211 0 0 0 290
0 15840 0 14276 0 0 0 309
0 15543 0 14283 0 0 0 300
0 15607 0 14168 0 0 0 316
0 15601 0 14246 0 0 0 312
0 14908 0 13869 0 0 0 315
0 15210 0 13568 0 0 0 310
0 15098 0 13884 0 0 0 283
0 15105 0 13990 0 0 0 296
0 14473 0 13694 0 0 0 245
0 14020 0 13192 0 0 0 279
0 13742 0 13123 0 0 0 314
0 13793 0 12964 0 0 0 311
0 13874 0 13358 0 0 0 306
0 14178 0 12984 0 0 0 294
0 13943 0 13103 0 0 0 317
0 13907 0 13177 0 0 0 290
0 13685 0 13073 0 0 0 305
0 13889 0 12885 0 0 0 287
0 13810 0 12856 0 0 0 315
0 13867 0 13081 0 0 0 329
0 14086 0 12904 0 0 0 312
0 13814 0 13114 0 0 0 300
0 13805 0 13253 0 0 0 295
0 13919 0 13080 0 0 0 307
0 13841 0 12879 0 0 0 306
0 13855 0 12996 0 0 0 298
0 13893 0 13070 0 0 0 317
0 14061 0 13040 0 0 0 292
0 14073 0 13201 0 0 0 308
0 13907 0 13217 0 0 0 295
0 13616 0 13210 0 0 0 295
0 14157 0 12957 0 0 0 320
0 13821 0 13160 0 0 0 300
0 13835 0 13008 0 0 0 298
0 13973 0 13075 0 0 0 300
0 13890 0 13108 0 0 0 305
0 13730 0 12905 0 0 0 289
0 13863 0 13131 0 0 0 314
0 13835 0 13163 0 0 0 299
0 13795 0 12958 0 0 0 288
0 14035 0 12849 0 0 0 282
0 14006 0 12998 0 0 0 303
0 13871 0 12991 0 0 0 298
0 15359 0 12889 0 0 0 316
0 15361 0 12919 0 0 0 275
0 15450 0 13059 0 0 0 263
0 15582 0 13058 0 0 0 301
0 15359 0 14392 0 0 0 283
0 15295 0 14577 0 0 0 291
0 15484 0 14479 0 0 0 307
0 15089 0 14422 0 0 0 293
0 15441 0 14255 0 0 0 294
0 15284 0 14333 0 0 0 294
0 15126 0 14355 0 0 0 300
0 15370 0 14534 0 0 0 348
0 15098 0 14558 0 0 0 340
0 15345 0 14770 0 0 0 341
0 13730 0 13103 0 0 0 313
