# A B A' B' AB AA' BB' A'B'
0 26500 0 15792 0 0 0 137
0 23023 0 13509 0 0 0 110
0 22683 0 13549 0 0 0 154
0 21805 0 13116 0 0 0 130
0 21719 0 13259 0 0 0 135
0 21524 0 13170 0 0 0 139
0 21904 0 13027 0 0 0 139
0 21744 0 13079 0 0 0 126
0 21660 0 13010 0 0 0 115
0 21564 0 12959 0 0 0 135
0 21675 0 13044 0 0 0 140
0 21923 0 13215 0 0 0 129
0 21849 0 13244 0 0 0 116
0 21666 0 13266 0 0 0 124
0 21732 0 13160 0 0 0 124
0 21849 0 13088 0 0 0 130
0 24263 0 13196 0 0 0 134
0 24156 0 13084 0 0 0 131
0 24227 0 13068 0 0 0 123
0 24258 0 14867 0 0 0 140
0 24107 0 14687 0 0 0 134
0 24140 0 14603 0 0 0 151
0 24182 0 14635 0 0 0 124
0 24074 0 14661 0 0 0 134
0 24415 0 14563 0 0 0 141
0 24173 0 14543 0 0 0 136
0 23925 0 14504 0 0 0 134
0 24068 0 14703 0 0 0 129
0 21638 0 13116 0 0 0 134
0 21780 0 13035 0 0 0 149
0 21649 0 13048 0 0 0 139
0 21739 0 13284 0 0 0 120
0 21872 0 12915 0 0 0 110
0 21840 0 13026 0 0 0 138
0 21485 0 13164 0 0 0 123
0 21746 0 13056 0 0 0 129
0 21688 0 13130 0 0 0 140
0 21605 0 12994 0 0 0 134
0 21545 0 13110 0 0 0 131
0 21584 0 13178 0 0 0 139
0 21709 0 13373 0 0 0 125
0 21853 0 13224 0 0 0 146
0 21921 0 13098 0 0 0 125
0 21593 0 13367 0 0 0 127
0 21481 0 13090 0 0 0 151
0 21736 0 13192 0 0 0 116
0 21530 0 13091 0 0 0 147
0 21690 0 13105 0 0 0 144
0 21893 0 13148 0 0 0 146
0 21593 0 12860 0 0 0 118
0 21426 0 13316 0 0 0 116
0 21877 0 13102 0 0 0 148
0 21440 0 13149 0 0 0 136
0 21519 0 13220 0 0 0 129
0 21785 0 13128 0 0 0 119
0 21815 0 13092 0 0 0 104
0 21892 0 13124 0 0 0 141
0 21780 0 13193 0 0 0 146
0 21583 0 13382 0 0 0 117
0 21750 0 13332 0 0 0 118
