# A B A' B' AB AA' BB' A'B'
0 16181 0 14234 0 0 0 507
0 14559 0 12777 0 0 0 482
0 14296 0 12773 0 0 0 498
0 14326 0 12803 0 0 0 440
0 14636 0 12903 0 0 0 476
0 14500 0 12827 0 0 0 486
0 14566 0 12819 0 0 0 462
0 14703 0 12866 0 0 0 501
0 14409 0 12872 0 0 0 501
0 14663 0 12747 0 0 0 442
0 14699 0 12823 0 0 0 503
0 14518 0 12667 0 0 0 488
0 14448 0 12834 0 0 0 454
0 14505 0 12450 0 0 0 444
0 14300 0 12657 0 0 0 495
0 14387 0 12457 0 0 0 441
0 14300 0 12658 0 0 0 443
0 14643 0 12733 0 0 0 489
0 14329 0 12768 0 0 0 481
0 14351 0 12808 0 0 0 469
0 14235 0 12643 0 0 0 454
0 14444 0 12667 0 0 0 484
0 14600 0 12799 0 0 0 479
0 15962 0 12693 0 0 0 477
0 16048 0 12844 0 0 0 474
0 15819 0 12756 0 0 0 481
0 15784 0 12881 0 0 0 467
0 15921 0 14077 0 0 0 471
0 15968 0 14222 0 0 0 499
0 15895 0 14095 0 0 0 470
0 16098 0 14402 0 0 0 460
0 16178 0 13946 0 0 0 453
0 15977 0 14202 0 0 0 480
0 15985 0 14232 0 0 0 487
0 15940 0 14086 0 0 0 568
0 16002 0 13918 0 0 0 509
0 16302 0 14198 0 0 0 576
0 14246 0 12733 0 0 0 445
0 14403 0 12663 0 0 0 493
0 14321 0 12627 0 0 0 451
0 14361 0 12798 0 0 0 480
0 14391 0 12889 0 0 0 491
0 14323 0 12576 0 0 0 464
0 14330 0 12596 0 0 0 451
0 14371 0 12556 0 0 0 454
0 14428 0 12849 0 0 0 488
0 14322 0 12725 0 0 0 521
0 14488 0 12759 0 0 0 467
0 14469 0 12521 0 0 0 429
0 14313 0 12364 0 0 0 490
0 14307 0 12957 0 0 0 491
0 14553 0 12748 0 0 0 479
0 14346 0 12575 0 0 0 458
0 14278 0 12705 0 0 0 463
0 14622 0 12748 0 0 0 477
0 14316 0 12726 0 0 0 467
0 14575 0 12627 0 0 0 482
0 14462 0 12592 0 0 0 477
0 14426 0 12881 0 0 0 494
0 14575 0 12801 0 0 0 486
