# A B A' B' AB AA' BB' A'B'
0 21031 0 14387 0 0 0 141
0 18636 0 12816 0 0 0 119
0 18992 0 12852 0 0 0 124
0 18803 0 12761 0 0 0 132
0 18535 0 12790 0 0 0 112
0 18791 0 12705 0 0 0 141
0 18502 0 12559 0 0 0 109
0 18783 0 12626 0 0 0 138
0 18733 0 12784 0 0 0 123
0 18644 0 12809 0 0 0 152
0 18645 0 12556 0 0 0 124
0 18616 0 12825 0 0 0 139
0 18632 0 12677 0 0 0 127
0 18765 0 12663 0 0 0 133
0 19046 0 12707 0 0 0 125
0 19021 0 12750 0 0 0 113
0 18481 0 12733 0 0 0 129
0 20899 0 12732 0 0 0 115
0 21020 0 12608 0 0 0 124
0 20844 0 12782 0 0 0 136
0 20858 0 12900 0 0 0 133
0 20783 0 14037 0 0 0 147
0 20863 0 14216 0 0 0 139
0 20828 0 14065 0 0 0 125
0 20681 0 14204 0 0 0 124
0 21022 0 14351 0 0 0 136
0 20682 0 14256 0 0 0 134
0 20818 0 14132 0 0 0 149
0 20832 0 14187 0 0 0 152
0 20773 0 14316 0 0 0 153
0 18655 0 12796 0 0 0 119
0 18569 0 12890 0 0 0 113
0 18840 0 12650 0 0 0 133
0 18731 0 12646 0 0 0 136
0 18789 0 12916 0 0 0 142
0 18733 0 12920 0 0 0 126
0 18852 0 12665 0 0 0 138
0 18495 0 12912 0 0 0 123
0 18479 0 12739 0 0 0 125
0 18669 0 12662 0 0 0 111
0 18793 0 12790 0 0 0 128
0 18670 0 12739 0 0 0 128
0 18625 0 12804 0 0 0 137
0 18907 0 12800 0 0 0 115
0 18661 0 12854 0 0 0 132
0 18612 0 12782 0 0 0 129
0 18660 0 12944 0 0 0 116
0 18431 0 12938 0 0 0 125
0 18988 0 12683 0 0 0 130
0 18569 0 12647 0 0 0 106
0 18465 0 12814 0 0 0 113
0 18760 0 12653 0 0 0 127
0 18788 0 12520 0 0 0 131
0 18746 0 12618 0 0 0 121
0 18917 0 12745 0 0 0 129
0 18955 0 12838 0 0 0 122
0 18776 0 12750 0 0 0 124
0 18666 0 12649 0 0 0 123
0 18989 0 13033 0 0 0 121
0 18431 0 12701 0 0 0 130
