# A B A' B' AB AA' BB' A'B'
0 21995 0 15004 0 0 0 233
0 19827 0 13597 0 0 0 223
0 19560 0 13559 0 0 0 236
0 19547 0 13442 0 0 0 215
0 19638 0 13542 0 0 0 225
0 19751 0 13467 0 0 0 218
0 19632 0 13554 0 0 0 227
0 19601 0 13643 0 0 0 210
0 19523 0 13590 0 0 0 223
0 19544 0 13317 0 0 0 234
0 21834 0 15024 0 0 0 235
0 21540 0 15083 0 0 0 219
0 22194 0 14840 0 0 0 250
0 21836 0 14912 0 0 0 217
0 21848 0 14887 0 0 0 225
0 21863 0 14884 0 0 0 216
0 21764 0 15057 0 0 0 248
0 21882 0 15005 0 0 0 254
0 22110 0 15134 0 0 0 247
0 19853 0 13563 0 0 0 223
0 19709 0 13472 0 0 0 243
0 19878 0 13433 0 0 0 227
0 19740 0 13682 0 0 0 235
0 19759 0 13455 0 0 0 220
0 19927 0 13356 0 0 0 194
0 19791 0 13720 0 0 0 215
0 19935 0 13584 0 0 0 231
0 19622 0 13407 0 0 0 212
0 19588 0 13362 0 0 0 225
0 19436 0 13346 0 0 0 223
0 19835 0 13409 0 0 0 240
0 19208 0 13381 0 0 0 227
0 19282 0 13308 0 0 0 206
0 19415 0 13199 0 0 0 229
0 19378 0 13483 0 0 0 225
0 19480 0 13652 0 0 0 243
0 19682 0 13440 0 0 0 229
0 19492 0 13512 0 0 0 213
0 19281 0 13321 0 0 0 239
0 19618 0 13393 0 0 0 216
0 19642 0 13470 0 0 0 242
0 19391 0 13253 0 0 0 240
0 19576 0 13156 0 0 0 250
0 19335 0 13384 0 0 0 252
0 19477 0 13452 0 0 0 221
0 19502 0 13314 0 0 0 227
0 19314 0 13370 0 0 0 231
0 19434 0 13371 0 0 0 240
0 19504 0 13457 0 0 0 224
0 19376 0 13399 0 0 0 206
0 19292 0 13341 0 0 0 216
0 19578 0 13302 0 0 0 221
0 19618 0 13549 0 0 0 244
0 19377 0 13630 0 0 0 219
0 19435 0 13413 0 0 0 223
0 19308 0 13364 0 0 0 245
0 19266 0 13444 0 0 0 218
0 19357 0 13461 0 0 0 230
0 19509 0 13497 0 0 0 209
0 19127 0 13385 0 0 0 253
