# A B A' B' AB AA' BB' A'B'
0 21363 0 14008 0 0 0 21
0 21723 0 12531 0 0 0 25
0 21491 0 12781 0 0 0 18
0 21603 0 12705 0 0 0 21
0 21734 0 12803 0 0 0 23
0 21373 0 14067 0 0 0 25
0 21344 0 14119 0 0 0 36
0 21446 0 14293 0 0 0 16
0 21190 0 14204 0 0 0 23
0 21300 0 13905 0 0 0 18
0 21306 0 14058 0 0 0 22
0 19143 0 12769 0 0 0 21
0 19106 0 12622 0 0 0 22
0 18986 0 12777 0 0 0 25
0 19034 0 12778 0 0 0 27
0 19118 0 12730 0 0 0 13
0 19570 0 12769 0 0 0 24
0 19413 0 12836 0 0 0 23
0 19217 0 12678 0 0 0 24
0 19186 0 12862 0 0 0 23
0 19163 0 12868 0 0 0 21
0 19167 0 12718 0 0 0 23
0 19172 0 12591 0 0 0 15
0 19320 0 12795 0 0 0 24
0 19179 0 12692 0 0 0 20
0 19343 0 12829 0 0 0 18
0 19296 0 12761 0 0 0 18
0 19121 0 12707 0 0 0 20
0 19240 0 12767 0 0 0 22
0 19039 0 12567 0 0 0 16
0 19358 0 12433 0 0 0 14
0 19312 0 12711 0 0 0 19
0 19184 0 12654 0 0 0 23
0 19001 0 12894 0 0 0 18
0 19287 0 12659 0 0 0 27
0 19105 0 12939 0 0 0 23
0 19310 0 12483 0 0 0 20
0 19238 0 12781 0 0 0 16
0 19274 0 12611 0 0 0 26
0 19194 0 12883 0 0 0 14
0 19332 0 12900 0 0 0 22
0 19473 0 12708 0 0 0 13
0 19244 0 12827 0 0 0 17
0 19371 0 12998 0 0 0 24
0 19241 0 12855 0 0 0 19
0 19061 0 12732 0 0 0 25
0 19125 0 12640 0 0 0 29
0 19349 0 12845 0 0 0 24
0 19546 0 12924 0 0 0 23
0 19282 0 12764 0 0 0 20
0 19390 0 12660 0 0 0 27
0 19241 0 12909 0 0 0 23
0 19092 0 12800 0 0 0 14
0 19073 0 12682 0 0 0 24
0 21328 0 12494 0 0 0 19
0 21061 0 12897 0 0 0 18
0 21352 0 12866 0 0 0 20
0 20868 0 12697 0 0 0 18
0 21324 0 13938 0 0 0 17
0 21399 0 14332 0 0 0 18
