# A B A' B' AB AA' BB' A'B'
0 17110 0 14856 0 0 0 247
0 15087 0 13685 0 0 0 227
0 14610 0 13371 0 0 0 233
0 15254 0 13722 0 0 0 250
0 15180 0 13535 0 0 0 256
0 15031 0 13503 0 0 0 238
0 15077 0 13308 0 0 0 252
0 14576 0 13419 0 0 0 232
0 14894 0 13302 0 0 0 209
0 14924 0 13457 0 0 0 233
0 15073 0 13350 0 0 0 241
0 14762 0 13104 0 0 0 240
0 14929 0 13425 0 0 0 225
0 15011 0 13434 0 0 0 234
0 14787 0 13474 0 0 0 239
0 14531 0 13273 0 0 0 223
0 14671 0 13292 0 0 0 233
0 14782 0 13488 0 0 0 254
0 14797 0 13230 0 0 0 234
0 14682 0 13409 0 0 0 241
0 15056 0 13296 0 0 0 249
0 14674 0 13440 0 0 0 238
0 14954 0 13154 0 0 0 234
0 14812 0 13409 0 0 0 243
0 14455 0 13269 0 0 0 237
0 14999 0 13534 0 0 0 246
0 14842 0 13469 0 0 0 248
0 14681 0 13399 0 0 0 240
0 14801 0 13516 0 0 0 226
0 14811 0 13330 0 0 0 236
0 15042 0 13412 0 0 0 258
0 16578 0 13415 0 0 0 234
0 16556 0 13350 0 0 0 248
0 16022 0 13472 0 0 0 270
0 16614 0 13589 0 0 0 248
0 16562 0 14959 0 0 0 216
0 16609 0 14783 0 0 0 229
0 16417 0 14916 0 0 0 221
0 16658 0 15001 0 0 0 222
0 16758 0 15132 0 0 0 260
0 16732 0 14795 0 0 0 254
0 16805 0 15030 0 0 0 235
0 16605 0 14956 0 0 0 269
0 16732 0 14741 0 0 0 256
0 14780 0 13285 0 0 0 213
0 14874 0 13380 0 0 0 221
0 14713 0 13526 0 0 0 238
0 15297 0 13506 0 0 0 274
0 14949 0 13379 0 0 0 231
0 14671 0 13266 0 0 0 206
0 14762 0 13239 0 0 0 231
0 14653 0 13495 0 0 0 230
0 15116 0 13497 0 0 0 237
0 14870 0 13416 0 0 0 266
0 14989 0 13467 0 0 0 243
0 14835 0 13449 0 0 0 218
0 14929 0 13465 0 0 0 242
0 14994 0 13433 0 0 0 268
0 14937 0 13388 0 0 0 239
0 14985 0 13388 0 0 0 249
