# A B A' B' AB AA' BB' A'B'
0 27577 0 25468 0 0 0 183
0 24620 0 22619 0 0 0 126
0 24333 0 21999 0 0 0 140
0 24358 0 22324 0 0 0 118
0 24332 0 22274 0 0 0 130
0 24162 0 22153 0 0 0 145
0 23947 0 22051 0 0 0 147
0 24290 0 22291 0 0 0 149
0 24445 0 22343 0 0 0 164
0 24292 0 21873 0 0 0 137
0 26988 0 24548 0 0 0 134
0 26830 0 24798 0 0 0 175
0 26966 0 24459 0 0 0 153
0 26982 0 24840 0 0 0 168
0 24227 0 22365 0 0 0 139
0 24321 0 22325 0 0 0 143
0 24268 0 22036 0 0 0 147
0 24086 0 22313 0 0 0 142
0 24163 0 22190 0 0 0 163
0 24201 0 22246 0 0 0 145
0 24195 0 22234 0 0 0 144
0 24149 0 22425 0 0 0 160
0 24192 0 22458 0 0 0 150
0 24007 0 22003 0 0 0 125
0 24500 0 22552 0 0 0 149
0 24198 0 21999 0 0 0 154
0 24071 0 22201 0 0 0 155
0 24085 0 22240 0 0 0 169
0 24456 0 22136 0 0 0 138
0 24156 0 21950 0 0 0 146
0 24604 0 22187 0 0 0 147
0 24332 0 22110 0 0 0 155
0 24061 0 21879 0 0 0 146
0 24065 0 22424 0 0 0 128
0 24162 0 22517 0 0 0 148
0 24168 0 22001 0 0 0 147
0 24136 0 21856 0 0 0 148
0 24318 0 21999 0 0 0 146
0 24033 0 22345 0 0 0 139
0 24200 0 22144 0 0 0 158
0 24229 0 22294 0 0 0 152
0 24171 0 22404 0 0 0 139
0 23799 0 22190 0 0 0 150
0 24157 0 22268 0 0 0 167
0 24206 0 22234 0 0 0 157
0 24310 0 22291 0 0 0 154
0 24052 0 21887 0 0 0 147
0 24263 0 21948 0 0 0 140
0 24055 0 21758 0 0 0 154
0 24385 0 22293 0 0 0 149
0 24358 0 22098 0 0 0 161
0 23837 0 22424 0 0 0 138
0 24556 0 22108 0 0 0 149
0 24185 0 22292 0 0 0 144
0 24057 0 22105 0 0 0 148
0 23979 0 22268 0 0 0 139
0 24109 0 22030 0 0 0 157
0 24380 0 22251 0 0 0 153
0 24197 0 22227 0 0 0 163
0 23873 0 22073 0 0 0 126
