# A B A' B' AB AA' BB' A'B'
0 30819 0 21657 0 0 0 47
0 28283 0 19294 0 0 0 51
0 27991 0 19409 0 0 0 43
0 27996 0 19241 0 0 0 44
0 27407 0 19333 0 0 0 53
0 27509 0 19594 0 0 0 41
0 27873 0 19304 0 0 0 37
0 27977 0 19024 0 0 0 48
0 28075 0 19514 0 0 0 45
0 27470 0 19343 0 0 0 47
0 27840 0 19314 0 0 0 37
0 27899 0 19050 0 0 0 45
0 27894 0 19182 0 0 0 60
0 27934 0 19254 0 0 0 38
0 27839 0 19433 0 0 0 44
0 27748 0 19378 0 0 0 50
0 27988 0 19298 0 0 0 49
0 27741 0 19188 0 0 0 36
0 27747 0 19129 0 0 0 41
0 27695 0 19142 0 0 0 47
0 27485 0 19237 0 0 0 62
0 28068 0 19266 0 0 0 43
0 27859 0 19292 0 0 0 35
0 28163 0 19318 0 0 0 46
0 27996 0 19153 0 0 0 55
0 28000 0 19394 0 0 0 46
0 28260 0 19279 0 0 0 55
0 27755 0 19508 0 0 0 63
0 27754 0 19154 0 0 0 38
0 27889 0 19083 0 0 0 45
0 27743 0 19119 0 0 0 42
0 28000 0 19206 0 0 0 52
0 28073 0 19343 0 0 0 51
0 28017 0 19231 0 0 0 40
0 27783 0 19326 0 0 0 44
0 27695 0 19261 0 0 0 53
0 27513 0 19180 0 0 0 39
0 27659 0 19209 0 0 0 44
0 28090 0 19301 0 0 0 42
0 27791 0 19240 0 0 0 41
0 27898 0 19224 0 0 0 37
0 31132 0 19241 0 0 0 65
0 31249 0 19385 0 0 0 40
0 31145 0 19206 0 0 0 41
0 30955 0 19368 0 0 0 43
0 31037 0 21295 0 0 0 32
0 31151 0 21533 0 0 0 41
0 31226 0 21336 0 0 0 39
0 31212 0 21778 0 0 0 51
0 30848 0 21379 0 0 0 43
0 31030 0 21426 0 0 0 56
0 30866 0 21420 0 0 0 50
0 30970 0 21484 0 0 0 52
0 31377 0 21588 0 0 0 52
0 27838 0 19252 0 0 0 43
0 27716 0 19240 0 0 0 34
0 27810 0 19333 0 0 0 44
0 27692 0 19335 0 0 0 58
0 27876 0 19258 0 0 0 51
0 28118 0 19324 0 0 0 39
