# A B A' B' AB AA' BB' A'B'
0 28843 0 24928 0 0 0 860
0 26096 0 22131 0 0 0 751
0 26106 0 22185 0 0 0 744
0 26207 0 22066 0 0 0 778
0 25800 0 22030 0 0 0 761
0 25500 0 21771 0 0 0 800
0 25665 0 21751 0 0 0 747
0 25845 0 21870 0 0 0 772
0 25256 0 21746 0 0 0 730
0 25708 0 21829 0 0 0 736
0 25440 0 21679 0 0 0 763
0 25629 0 21556 0 0 0 767
0 25501 0 21702 0 0 0 718
0 25720 0 21783 0 0 0 777
0 25630 0 21686 0 0 0 714
0 25653 0 21695 0 0 0 790
0 25593 0 21920 0 0 0 782
0 26146 0 21824 0 0 0 779
0 25544 0 21921 0 0 0 744
0 25628 0 22002 0 0 0 749
0 25823 0 21738 0 0 0 789
0 25839 0 21932 0 0 0 766
0 26116 0 21707 0 0 0 742
0 25672 0 21801 0 0 0 759
0 25784 0 21991 0 0 0 738
0 25904 0 21787 0 0 0 711
0 25746 0 21720 0 0 0 759
0 25677 0 22047 0 0 0 777
0 25451 0 22066 0 0 0 764
0 25807 0 21889 0 0 0 772
0 25596 0 21790 0 0 0 757
0 25706 0 22011 0 0 0 759
0 25644 0 21723 0 0 0 729
0 26030 0 21759 0 0 0 767
0 25661 0 21871 0 0 0 737
0 25779 0 21571 0 0 0 776
0 25437 0 21539 0 0 0 714
0 25429 0 21618 0 0 0 774
0 28763 0 21809 0 0 0 794
0 28540 0 21874 0 0 0 708
0 28336 0 21695 0 0 0 758
0 28575 0 21679 0 0 0 769
0 28681 0 23854 0 0 0 707
0 28374 0 24350 0 0 0 744
0 28724 0 24308 0 0 0 805
0 28511 0 24130 0 0 0 759
0 28514 0 24186 0 0 0 737
0 28486 0 23989 0 0 0 750
0 28344 0 24070 0 0 0 722
0 28809 0 24146 0 0 0 849
0 28457 0 24017 0 0 0 849
0 28684 0 24316 0 0 0 836
0 28405 0 24063 0 0 0 834
0 25667 0 21693 0 0 0 721
0 25761 0 21958 0 0 0 757
0 25698 0 21587 0 0 0 793
0 25848 0 21600 0 0 0 736
0 25518 0 21903 0 0 0 723
0 25857 0 21662 0 0 0 819
0 25543 0 21733 0 0 0 754
