# A B A' B' AB AA' BB' A'B'
0 27886 0 21786 0 0 0 872
0 25334 0 19819 0 0 0 845
0 24955 0 19534 0 0 0 790
0 24691 0 19456 0 0 0 767
0 24860 0 19497 0 0 0 819
0 24664 0 19518 0 0 0 815
0 24584 0 19255 0 0 0 806
0 24753 0 19352 0 0 0 774
0 24856 0 19508 0 0 0 754
0 24837 0 19098 0 0 0 817
0 27157 0 21677 0 0 0 791
0 27879 0 21688 0 0 0 765
0 27488 0 21348 0 0 0 824
0 27382 0 21746 0 0 0 806
0 27505 0 21332 0 0 0 863
0 27209 0 21633 0 0 0 861
0 27603 0 21462 0 0 0 886
0 24627 0 19465 0 0 0 832
0 24388 0 19279 0 0 0 842
0 24759 0 19142 0 0 0 821
0 24878 0 19313 0 0 0 790
0 24806 0 19435 0 0 0 783
0 24626 0 19399 0 0 0 769
0 24864 0 19424 0 0 0 803
0 24723 0 19265 0 0 0 845
0 24640 0 19667 0 0 0 805
0 24820 0 19461 0 0 0 798
0 24626 0 19471 0 0 0 809
0 24449 0 19171 0 0 0 839
0 24850 0 19272 0 0 0 803
0 24489 0 19207 0 0 0 767
0 24883 0 19242 0 0 0 766
0 24911 0 19177 0 0 0 805
0 24787 0 19426 0 0 0 797
0 24872 0 19391 0 0 0 819
0 24607 0 19160 0 0 0 799
0 24670 0 19063 0 0 0 774
0 24531 0 19451 0 0 0 766
0 24780 0 19340 0 0 0 813
0 24882 0 19284 0 0 0 830
0 24693 0 19420 0 0 0 814
0 25063 0 19371 0 0 0 788
0 24913 0 19388 0 0 0 790
0 24892 0 19316 0 0 0 780
0 24444 0 19447 0 0 0 803
0 24854 0 19554 0 0 0 873
0 24757 0 19450 0 0 0 799
0 24623 0 19448 0 0 0 849
0 24840 0 19521 0 0 0 803
0 24604 0 18950 0 0 0 809
0 24661 0 19311 0 0 0 814
0 24679 0 19329 0 0 0 803
0 24582 0 19455 0 0 0 840
0 24915 0 19407 0 0 0 824
0 24741 0 19502 0 0 0 817
0 24710 0 19279 0 0 0 816
0 24863 0 19289 0 0 0 810
0 24748 0 19461 0 0 0 810
0 24965 0 19207 0 0 0 805
0 24579 0 19294 0 0 0 804
