# A B A' B' AB AA' BB' A'B'
0 26634 0 23891 0 0 0 404
0 24031 0 21632 0 0 0 422
0 24237 0 21558 0 0 0 412
0 23674 0 21436 0 0 0 416
0 23984 0 21107 0 0 0 419
0 23877 0 21088 0 0 0 398
0 23777 0 21305 0 0 0 414
0 24086 0 21277 0 0 0 415
0 26461 0 21098 0 0 0 359
0 26012 0 21297 0 0 0 412
0 26177 0 23537 0 0 0 441
0 26376 0 23877 0 0 0 460
0 26027 0 23745 0 0 0 456
0 23852 0 21375 0 0 0 401
0 23835 0 21316 0 0 0 420
0 23491 0 21112 0 0 0 445
0 23650 0 21370 0 0 0 389
0 23707 0 21216 0 0 0 387
0 23673 0 21247 0 0 0 404
0 23965 0 21133 0 0 0 408
0 23891 0 21299 0 0 0 412
0 23976 0 21334 0 0 0 386
0 23883 0 21286 0 0 0 414
0 23799 0 21264 0 0 0 421
0 23610 0 21214 0 0 0 433
0 23666 0 21256 0 0 0 425
0 23587 0 21703 0 0 0 394
0 23796 0 21091 0 0 0 414
0 23584 0 21456 0 0 0 389
0 23668 0 21361 0 0 0 388
0 24103 0 21387 0 0 0 398
0 23551 0 21285 0 0 0 413
0 23459 0 21469 0 0 0 398
0 23588 0 21136 0 0 0 379
0 24159 0 21451 0 0 0 394
0 23634 0 21337 0 0 0 413
0 23765 0 21230 0 0 0 426
0 23780 0 21357 0 0 0 421
0 23556 0 21272 0 0 0 383
0 23794 0 21335 0 0 0 401
0 23707 0 21528 0 0 0 409
0 23744 0 21414 0 0 0 441
0 23672 0 21113 0 0 0 429
0 23689 0 21137 0 0 0 394
0 24060 0 21006 0 0 0 430
0 23779 0 21177 0 0 0 369
0 23734 0 21201 0 0 0 426
0 23963 0 21474 0 0 0 364
0 23586 0 21247 0 0 0 414
0 23567 0 21280 0 0 0 401
0 24082 0 21263 0 0 0 390
0 24013 0 20981 0 0 0 398
0 23712 0 21290 0 0 0 428
0 23757 0 21384 0 0 0 413
0 23538 0 21151 0 0 0 423
0 23907 0 21167 0 0 0 385
0 23685 0 21196 0 0 0 401
0 23759 0 21164 0 0 0 379
0 24012 0 21412 0 0 0 428
0 24023 0 21228 0 0 0 426
