# A B A' B' AB AA' BB' A'B'
0 29061 0 23901 0 0 0 835
0 26010 0 21428 0 0 0 756
0 26157 0 21443 0 0 0 754
0 28619 0 21314 0 0 0 755
0 28506 0 21472 0 0 0 708
0 28204 0 21296 0 0 0 782
0 28772 0 21235 0 0 0 754
0 28482 0 23706 0 0 0 748
0 28541 0 23735 0 0 0 785
0 28393 0 23723 0 0 0 733
0 28958 0 23874 0 0 0 753
0 28481 0 23517 0 0 0 836
0 28470 0 23753 0 0 0 774
0 25749 0 21138 0 0 0 775
0 25546 0 21023 0 0 0 732
0 26042 0 21324 0 0 0 784
0 25676 0 21362 0 0 0 807
0 25414 0 21433 0 0 0 735
0 25650 0 21228 0 0 0 761
0 25706 0 21143 0 0 0 767
0 25626 0 21276 0 0 0 769
0 25977 0 21296 0 0 0 795
0 25780 0 21117 0 0 0 774
0 25537 0 21150 0 0 0 798
0 25556 0 21126 0 0 0 752
0 26061 0 21298 0 0 0 792
0 25602 0 21233 0 0 0 766
0 25626 0 21179 0 0 0 788
0 25665 0 21402 0 0 0 683
0 25809 0 21331 0 0 0 768
0 25691 0 21410 0 0 0 777
0 25910 0 21200 0 0 0 798
0 25259 0 21172 0 0 0 807
0 25826 0 21229 0 0 0 754
0 25796 0 21283 0 0 0 777
0 25748 0 21297 0 0 0 819
0 25882 0 21282 0 0 0 773
0 26102 0 21240 0 0 0 772
0 25808 0 21266 0 0 0 786
0 25455 0 20994 0 0 0 719
0 25805 0 21204 0 0 0 748
0 25840 0 21257 0 0 0 780
0 25982 0 21068 0 0 0 843
0 25770 0 21375 0 0 0 815
0 25868 0 21581 0 0 0 767
0 25642 0 21522 0 0 0 707
0 25620 0 21422 0 0 0 773
0 25621 0 21177 0 0 0 761
0 25739 0 21290 0 0 0 737
0 25889 0 21313 0 0 0 754
0 25852 0 21420 0 0 0 789
0 25984 0 21255 0 0 0 768
0 25549 0 21043 0 0 0 762
0 25883 0 21250 0 0 0 777
0 25739 0 21414 0 0 0 796
0 25858 0 21453 0 0 0 772
0 25732 0 21422 0 0 0 785
0 25894 0 21269 0 0 0 750
0 26014 0 21428 0 0 0 802
0 25535 0 21265 0 0 0 750
