# A B A' B' AB AA' BB' A'B'
0 26429 0 21650 0 0 0 891
0 23609 0 19516 0 0 0 765
0 24021 0 19441 0 0 0 780
0 24055 0 19448 0 0 0 763
0 23663 0 19599 0 0 0 801
0 23779 0 19592 0 0 0 757
0 23878 0 19605 0 0 0 821
0 23827 0 19668 0 0 0 770
0 23392 0 19249 0 0 0 771
0 23839 0 19283 0 0 0 806
0 23754 0 19446 0 0 0 765
0 23972 0 19593 0 0 0 766
0 23769 0 19543 0 0 0 746
0 23725 0 19400 0 0 0 772
0 23625 0 19512 0 0 0 819
0 23619 0 19592 0 0 0 803
0 26354 0 19412 0 0 0 763
0 26121 0 19533 0 0 0 720
0 26635 0 19228 0 0 0 813
0 26634 0 19302 0 0 0 779
0 26382 0 21583 0 0 0 781
0 26205 0 21699 0 0 0 746
0 25875 0 21602 0 0 0 729
0 26661 0 21559 0 0 0 721
0 26433 0 21912 0 0 0 805
0 26198 0 21744 0 0 0 790
0 26685 0 21559 0 0 0 839
0 26025 0 21731 0 0 0 852
0 26475 0 21587 0 0 0 823
0 23700 0 19799 0 0 0 734
0 23591 0 19523 0 0 0 773
0 23714 0 19599 0 0 0 766
0 23960 0 19798 0 0 0 763
0 23836 0 19556 0 0 0 787
0 23423 0 19341 0 0 0 730
0 23825 0 19504 0 0 0 796
0 23855 0 19486 0 0 0 770
0 23634 0 19651 0 0 0 758
0 24036 0 19634 0 0 0 788
0 23579 0 19681 0 0 0 786
0 23711 0 19577 0 0 0 773
0 23703 0 19765 0 0 0 772
0 24373 0 19576 0 0 0 793
0 23628 0 19560 0 0 0 724
0 23732 0 19499 0 0 0 762
0 23712 0 19658 0 0 0 777
0 23843 0 19279 0 0 0 771
0 23530 0 19457 0 0 0 738
0 24064 0 19551 0 0 0 773
0 23915 0 19608 0 0 0 752
0 24067 0 19758 0 0 0 783
0 23874 0 19336 0 0 0 767
0 23821 0 19461 0 0 0 771
0 23879 0 19400 0 0 0 781
0 23021 0 19441 0 0 0 763
0 23360 0 19560 0 0 0 731
0 24188 0 19306 0 0 0 778
0 23507 0 19443 0 0 0 766
0 23830 0 19605 0 0 0 767
0 23736 0 19609 0 0 0 786
