# A B A' B' AB AA' BB' A'B'
0 26242 0 24912 0 0 0 120
0 23852 0 22733 0 0 0 119
0 23668 0 22246 0 0 0 100
0 24074 0 22623 0 0 0 107
0 23787 0 22813 0 0 0 122
0 23740 0 22944 0 0 0 109
0 24272 0 22999 0 0 0 104
0 23885 0 23046 0 0 0 111
0 23767 0 22917 0 0 0 106
0 24390 0 22956 0 0 0 90
0 26580 0 22596 0 0 0 106
0 25957 0 22198 0 0 0 106
0 26117 0 22372 0 0 0 93
0 26080 0 24744 0 0 0 111
0 26083 0 24885 0 0 0 117
0 26174 0 24827 0 0 0 95
0 26337 0 24760 0 0 0 116
0 26297 0 24794 0 0 0 103
0 26461 0 25017 0 0 0 108
0 26120 0 24933 0 0 0 97
0 26150 0 24929 0 0 0 133
0 26046 0 24906 0 0 0 112
0 23409 0 22401 0 0 0 126
0 23402 0 22653 0 0 0 124
0 23868 0 22149 0 0 0 112
0 23439 0 22326 0 0 0 119
0 23701 0 22106 0 0 0 106
0 23867 0 22373 0 0 0 113
0 23545 0 22414 0 0 0 108
0 23250 0 22398 0 0 0 121
0 23521 0 22323 0 0 0 106
0 23637 0 22226 0 0 0 122
0 23700 0 22317 0 0 0 99
0 23365 0 22376 0 0 0 136
0 23685 0 22535 0 0 0 109
0 23463 0 22559 0 0 0 109
0 23780 0 22494 0 0 0 94
0 23627 0 22494 0 0 0 122
0 23297 0 22552 0 0 0 117
0 23775 0 22127 0 0 0 114
0 23741 0 21891 0 0 0 113
0 23484 0 22423 0 0 0 101
0 23816 0 22565 0 0 0 103
0 23463 0 22363 0 0 0 123
0 23477 0 22725 0 0 0 105
0 23814 0 22410 0 0 0 114
0 23429 0 22212 0 0 0 107
0 23240 0 22408 0 0 0 95
0 23545 0 22532 0 0 0 84
0 23540 0 22290 0 0 0 108
0 23845 0 22380 0 0 0 113
0 23362 0 22197 0 0 0 103
0 23458 0 22318 0 0 0 102
0 23602 0 22336 0 0 0 108
0 23519 0 22171 0 0 0 100
0 23735 0 22272 0 0 0 102
0 23521 0 22202 0 0 0 103
0 23340 0 22233 0 0 0 114
0 23545 0 22283 0 0 0 117
0 23498 0 22251 0 0 0 105
