# A B A' B' AB AA' BB' A'B'
0 28083 0 21465 0 0 0 226
0 25522 0 19664 0 0 0 180
0 25742 0 19468 0 0 0 179
0 25426 0 19560 0 0 0 201
0 25660 0 19208 0 0 0 200
0 25323 0 19226 0 0 0 189
0 25391 0 19092 0 0 0 184
0 25433 0 19390 0 0 0 209
0 25559 0 19460 0 0 0 205
0 25113 0 19114 0 0 0 194
0 25545 0 19009 0 0 0 183
0 25082 0 19288 0 0 0 195
0 25237 0 19199 0 0 0 207
0 25366 0 19296 0 0 0 198
0 25328 0 19196 0 0 0 200
0 25332 0 19135 0 0 0 195
0 25125 0 19184 0 0 0 214
0 25529 0 19337 0 0 0 170
0 25625 0 19280 0 0 0 215
0 25220 0 19375 0 0 0 158
0 25327 0 19274 0 0 0 188
0 25465 0 19225 0 0 0 194
0 25273 0 19253 0 0 0 189
0 25476 0 19078 0 0 0 189
0 25230 0 19166 0 0 0 217
0 25371 0 18995 0 0 0 175
0 25526 0 19343 0 0 0 187
0 25455 0 19070 0 0 0 178
0 25207 0 19073 0 0 0 181
0 25344 0 19194 0 0 0 218
0 25471 0 19072 0 0 0 203
0 25386 0 19448 0 0 0 184
0 25522 0 19276 0 0 0 198
0 25844 0 19298 0 0 0 188
0 25438 0 19084 0 0 0 193
0 25509 0 19240 0 0 0 210
0 25662 0 19236 0 0 0 185
0 25355 0 19310 0 0 0 194
0 25590 0 19379 0 0 0 199
0 28095 0 19194 0 0 0 188
0 28277 0 19520 0 0 0 211
0 28381 0 18975 0 0 0 211
0 28341 0 19282 0 0 0 202
0 28285 0 21087 0 0 0 192
0 28173 0 21212 0 0 0 188
0 28017 0 21369 0 0 0 200
0 28097 0 21641 0 0 0 201
0 28298 0 21579 0 0 0 209
0 28497 0 21494 0 0 0 186
0 28282 0 21527 0 0 0 197
0 28150 0 21860 0 0 0 222
0 28547 0 21301 0 0 0 227
0 28340 0 21250 0 0 0 221
0 28151 0 21595 0 0 0 220
0 25365 0 19341 0 0 0 194
0 25650 0 19250 0 0 0 177
0 25763 0 19380 0 0 0 208
0 25537 0 19398 0 0 0 196
0 25466 0 19164 0 0 0 186
0 25460 0 19187 0 0 0 181
