# A B A' B' AB AA' BB' A'B'
0 28970 0 21768 0 0 0 579
0 26136 0 19735 0 0 0 569
0 26367 0 19607 0 0 0 545
0 26151 0 19648 0 0 0 537
0 26101 0 19507 0 0 0 541
0 26045 0 19619 0 0 0 560
0 28883 0 19153 0 0 0 520
0 28363 0 19580 0 0 0 587
0 28637 0 19203 0 0 0 524
0 28976 0 19459 0 0 0 521
0 28864 0 21313 0 0 0 622
0 28969 0 21442 0 0 0 608
0 28888 0 21675 0 0 0 631
0 26239 0 19333 0 0 0 601
0 26100 0 19300 0 0 0 529
0 26205 0 19355 0 0 0 572
0 25932 0 19158 0 0 0 529
0 25845 0 19209 0 0 0 508
0 26015 0 19411 0 0 0 500
0 25956 0 19233 0 0 0 548
0 25993 0 19385 0 0 0 538
0 26074 0 19289 0 0 0 527
0 26138 0 19348 0 0 0 568
0 26203 0 19108 0 0 0 536
0 25872 0 19251 0 0 0 541
0 25732 0 19304 0 0 0 564
0 25820 0 19408 0 0 0 546
0 25856 0 19588 0 0 0 568
0 26113 0 19318 0 0 0 537
0 25859 0 19457 0 0 0 533
0 26306 0 19239 0 0 0 575
0 26204 0 19422 0 0 0 552
0 26091 0 19411 0 0 0 582
0 26020 0 19247 0 0 0 569
0 25869 0 19494 0 0 0 557
0 25989 0 19387 0 0 0 539
0 25974 0 19356 0 0 0 531
0 26318 0 19407 0 0 0 567
0 25899 0 19449 0 0 0 535
0 26359 0 19210 0 0 0 559
0 25627 0 18986 0 0 0 540
0 26004 0 19483 0 0 0 563
0 26400 0 19267 0 0 0 531
0 26002 0 19348 0 0 0 525
0 25802 0 19404 0 0 0 584
0 26059 0 19449 0 0 0 533
0 26140 0 19345 0 0 0 546
0 26018 0 19273 0 0 0 541
0 25945 0 19140 0 0 0 539
0 26050 0 19476 0 0 0 534
0 26022 0 19346 0 0 0 582
0 26255 0 19132 0 0 0 552
0 26045 0 19195 0 0 0 535
0 25944 0 19329 0 0 0 593
0 26296 0 19473 0 0 0 534
0 26065 0 19184 0 0 0 565
0 26205 0 19338 0 0 0 592
0 26150 0 19368 0 0 0 577
0 25930 0 19278 0 0 0 547
0 25788 0 19389 0 0 0 570
