# A B A' B' AB AA' BB' A'B'
0 29425 0 23123 0 0 0 845
0 26526 0 20310 0 0 0 696
0 26631 0 20536 0 0 0 751
0 26850 0 20830 0 0 0 765
0 26619 0 20524 0 0 0 731
0 26414 0 20707 0 0 0 741
0 26272 0 20731 0 0 0 784
0 26698 0 20750 0 0 0 804
0 26306 0 20614 0 0 0 785
0 26733 0 20680 0 0 0 795
0 26322 0 20476 0 0 0 781
0 26553 0 20355 0 0 0 727
0 26775 0 20470 0 0 0 755
0 26513 0 20409 0 0 0 762
0 26687 0 20349 0 0 0 753
0 26775 0 20608 0 0 0 749
0 26623 0 20444 0 0 0 737
0 26573 0 20151 0 0 0 793
0 26526 0 20615 0 0 0 806
0 26712 0 20392 0 0 0 762
0 26807 0 20349 0 0 0 758
0 26334 0 20448 0 0 0 764
0 26688 0 20390 0 0 0 741
0 26567 0 20218 0 0 0 754
0 26599 0 20637 0 0 0 781
0 26307 0 21003 0 0 0 778
0 27020 0 20612 0 0 0 756
0 26813 0 20247 0 0 0 753
0 26304 0 20561 0 0 0 738
0 26632 0 20368 0 0 0 785
0 26243 0 20418 0 0 0 773
0 26756 0 20557 0 0 0 782
0 26716 0 20685 0 0 0 778
0 26756 0 20104 0 0 0 718
0 26383 0 20456 0 0 0 760
0 26529 0 20855 0 0 0 796
0 26468 0 20405 0 0 0 771
0 26337 0 20546 0 0 0 748
0 26645 0 20782 0 0 0 774
0 26776 0 20483 0 0 0 709
0 26348 0 20686 0 0 0 779
0 29514 0 20748 0 0 0 747
0 29201 0 20709 0 0 0 806
0 29764 0 20688 0 0 0 735
0 29560 0 22459 0 0 0 775
0 29611 0 22933 0 0 0 771
0 29255 0 22657 0 0 0 743
0 29499 0 22842 0 0 0 791
0 29661 0 22698 0 0 0 786
0 29019 0 22798 0 0 0 747
0 29603 0 22979 0 0 0 784
0 29487 0 22958 0 0 0 882
0 29554 0 22872 0 0 0 850
0 29632 0 22596 0 0 0 799
0 26587 0 20598 0 0 0 750
0 26466 0 20572 0 0 0 762
0 26808 0 20618 0 0 0 762
0 26504 0 20261 0 0 0 754
0 26644 0 20649 0 0 0 741
0 26618 0 20867 0 0 0 726
