# A B A' B' AB AA' BB' A'B'
0 30483 0 22141 0 0 0 296
0 27053 0 19297 0 0 0 242
0 27195 0 19412 0 0 0 242
0 27141 0 19042 0 0 0 226
0 26907 0 19239 0 0 0 249
0 27025 0 19590 0 0 0 246
0 26977 0 19074 0 0 0 262
0 27241 0 19455 0 0 0 277
0 27284 0 19164 0 0 0 254
0 27334 0 19079 0 0 0 251
0 27167 0 19209 0 0 0 272
0 27241 0 19138 0 0 0 262
0 27377 0 19375 0 0 0 257
0 27561 0 19321 0 0 0 225
0 27119 0 19355 0 0 0 240
0 27303 0 19073 0 0 0 261
0 27094 0 19510 0 0 0 252
0 27343 0 19279 0 0 0 224
0 27246 0 19295 0 0 0 248
0 27494 0 19063 0 0 0 254
0 27302 0 19053 0 0 0 240
0 27403 0 19310 0 0 0 237
0 27433 0 19482 0 0 0 276
0 27084 0 19079 0 0 0 251
0 30530 0 19409 0 0 0 254
0 30312 0 19508 0 0 0 228
0 30542 0 19416 0 0 0 257
0 30453 0 18909 0 0 0 262
0 29917 0 21504 0 0 0 264
0 30031 0 21589 0 0 0 227
0 30459 0 21377 0 0 0 258
0 30298 0 21549 0 0 0 229
0 30233 0 21564 0 0 0 238
0 30100 0 21379 0 0 0 242
0 30301 0 21345 0 0 0 255
0 30266 0 21216 0 0 0 234
0 30125 0 21707 0 0 0 302
0 30129 0 21593 0 0 0 282
0 27429 0 19098 0 0 0 259
0 27264 0 19203 0 0 0 224
0 27183 0 19337 0 0 0 227
0 27088 0 19312 0 0 0 241
0 27092 0 19124 0 0 0 253
0 26973 0 19163 0 0 0 267
0 27306 0 19478 0 0 0 250
0 26962 0 19338 0 0 0 269
0 27325 0 19278 0 0 0 222
0 27224 0 19365 0 0 0 242
0 26880 0 19400 0 0 0 257
0 26897 0 19071 0 0 0 241
0 27126 0 19203 0 0 0 247
0 27340 0 19606 0 0 0 285
0 27104 0 19412 0 0 0 247
0 27345 0 19507 0 0 0 261
0 27150 0 19256 0 0 0 238
0 27309 0 19222 0 0 0 226
0 27085 0 19373 0 0 0 256
0 27632 0 19226 0 0 0 270
0 27060 0 19469 0 0 0 261
0 27102 0 19480 0 0 0 240
