# A B A' B' AB AA' BB' A'B'
0 31916 0 22738 0 0 0 167
0 28390 0 19906 0 0 0 143
0 28199 0 20025 0 0 0 133
0 28206 0 19704 0 0 0 108
0 28403 0 19855 0 0 0 125
0 31227 0 19614 0 0 0 143
0 31697 0 19702 0 0 0 114
0 31464 0 19639 0 0 0 135
0 31358 0 20081 0 0 0 145
0 31334 0 21623 0 0 0 152
0 31043 0 21681 0 0 0 144
0 28206 0 19507 0 0 0 148
0 28220 0 19905 0 0 0 133
0 27742 0 19801 0 0 0 134
0 27894 0 19698 0 0 0 133
0 28220 0 19712 0 0 0 138
0 28036 0 19689 0 0 0 110
0 28189 0 19727 0 0 0 139
0 28364 0 19619 0 0 0 116
0 28356 0 19535 0 0 0 135
0 28051 0 19826 0 0 0 123
0 28174 0 19813 0 0 0 138
0 28119 0 19758 0 0 0 128
0 28024 0 20042 0 0 0 116
0 28145 0 19679 0 0 0 118
0 28421 0 19636 0 0 0 139
0 28025 0 19507 0 0 0 123
0 28230 0 19414 0 0 0 120
0 28541 0 19983 0 0 0 145
0 28098 0 19783 0 0 0 127
0 28072 0 19585 0 0 0 126
0 27991 0 19728 0 0 0 118
0 28440 0 19721 0 0 0 138
0 27993 0 19598 0 0 0 128
0 28071 0 19842 0 0 0 131
0 28369 0 19694 0 0 0 137
0 27909 0 19479 0 0 0 137
0 28026 0 19775 0 0 0 115
0 28408 0 19746 0 0 0 142
0 28442 0 19908 0 0 0 119
0 28278 0 19718 0 0 0 137
0 27942 0 20020 0 0 0 135
0 28102 0 19781 0 0 0 148
0 28023 0 19693 0 0 0 127
0 28007 0 19652 0 0 0 138
0 28453 0 19652 0 0 0 116
0 28130 0 19573 0 0 0 117
0 28269 0 19652 0 0 0 127
0 28292 0 19524 0 0 0 122
0 28216 0 19752 0 0 0 127
0 27938 0 19801 0 0 0 126
0 28063 0 19904 0 0 0 133
0 28254 0 19743 0 0 0 136
0 27587 0 19951 0 0 0 152
0 28260 0 19548 0 0 0 118
0 28091 0 19686 0 0 0 138
0 28432 0 19610 0 0 0 129
0 28233 0 19791 0 0 0 141
0 28330 0 19632 0 0 0 136
0 28117 0 19814 0 0 0 141
