# A B A' B' AB AA' BB' A'B'
0 31067 0 23575 0 0 0 259
0 27575 0 20741 0 0 0 218
0 27143 0 20837 0 0 0 252
0 26766 0 20469 0 0 0 234
0 27079 0 20515 0 0 0 251
0 26862 0 20499 0 0 0 235
0 27266 0 20630 0 0 0 232
0 27155 0 20882 0 0 0 234
0 27198 0 20347 0 0 0 222
0 27116 0 20295 0 0 0 217
0 27064 0 20639 0 0 0 198
0 27250 0 20370 0 0 0 236
0 27248 0 20567 0 0 0 203
0 27310 0 20262 0 0 0 235
0 27231 0 20584 0 0 0 249
0 26980 0 20347 0 0 0 219
0 29957 0 20509 0 0 0 227
0 29887 0 20608 0 0 0 233
0 30021 0 20433 0 0 0 210
0 29802 0 20439 0 0 0 201
0 29862 0 22906 0 0 0 219
0 30234 0 22863 0 0 0 247
0 30385 0 22808 0 0 0 244
0 29962 0 22649 0 0 0 222
0 30286 0 22936 0 0 0 229
0 30251 0 22910 0 0 0 239
0 30196 0 23122 0 0 0 260
0 30299 0 22763 0 0 0 234
0 30184 0 22654 0 0 0 213
0 30272 0 22762 0 0 0 237
0 30293 0 22787 0 0 0 238
0 30208 0 22442 0 0 0 253
0 26837 0 20690 0 0 0 232
0 26653 0 20388 0 0 0 235
0 26986 0 20565 0 0 0 231
0 27183 0 20679 0 0 0 215
0 27038 0 20424 0 0 0 221
0 27278 0 20573 0 0 0 234
0 27031 0 20613 0 0 0 231
0 26901 0 20559 0 0 0 207
0 26970 0 20583 0 0 0 226
0 27158 0 20610 0 0 0 210
0 27432 0 20543 0 0 0 209
0 27076 0 20636 0 0 0 214
0 27080 0 20362 0 0 0 220
0 27041 0 20506 0 0 0 216
0 27241 0 20571 0 0 0 222
0 27155 0 20465 0 0 0 221
0 27435 0 20813 0 0 0 210
0 27336 0 20262 0 0 0 189
0 26944 0 20711 0 0 0 227
0 27279 0 20561 0 0 0 210
0 27200 0 20666 0 0 0 257
0 27283 0 20541 0 0 0 206
0 27123 0 20666 0 0 0 268
0 27186 0 20592 0 0 0 228
0 26967 0 20621 0 0 0 235
0 26999 0 20663 0 0 0 208
0 26982 0 20511 0 0 0 214
0 27184 0 20683 0 0 0 218
