# A B A' B' AB AA' BB' A'B'
0 26121 0 22469 0 0 0 820
0 26315 0 20040 0 0 0 806
0 26327 0 19993 0 0 0 715
0 26147 0 22203 0 0 0 727
0 26197 0 22452 0 0 0 792
0 26077 0 22231 0 0 0 737
0 26330 0 22205 0 0 0 754
0 26713 0 22141 0 0 0 833
0 26365 0 21991 0 0 0 791
0 26371 0 22015 0 0 0 755
0 26439 0 22194 0 0 0 807
0 23726 0 20025 0 0 0 775
0 23480 0 20240 0 0 0 768
0 23634 0 19632 0 0 0 717
0 23513 0 19887 0 0 0 798
0 23534 0 19819 0 0 0 792
0 23520 0 20096 0 0 0 778
0 23609 0 20008 0 0 0 774
0 24123 0 20015 0 0 0 808
0 23515 0 20058 0 0 0 757
0 23602 0 20098 0 0 0 777
0 23657 0 20069 0 0 0 782
0 23610 0 19780 0 0 0 775
0 23533 0 20205 0 0 0 824
0 23635 0 19887 0 0 0 767
0 23836 0 20121 0 0 0 759
0 23726 0 20055 0 0 0 801
0 23436 0 20127 0 0 0 806
0 23423 0 20147 0 0 0 739
0 23619 0 19981 0 0 0 693
0 23682 0 20082 0 0 0 755
0 23629 0 19881 0 0 0 775
0 23398 0 20101 0 0 0 744
0 23783 0 19884 0 0 0 755
0 23725 0 20331 0 0 0 781
0 23445 0 20054 0 0 0 815
0 23445 0 19980 0 0 0 756
0 23604 0 19881 0 0 0 804
0 23667 0 20155 0 0 0 766
0 23457 0 20062 0 0 0 780
0 23809 0 20161 0 0 0 769
0 23379 0 20251 0 0 0 818
0 23566 0 20130 0 0 0 799
0 23884 0 20177 0 0 0 802
0 23621 0 19978 0 0 0 762
0 23932 0 20020 0 0 0 776
0 23386 0 20179 0 0 0 757
0 23770 0 20068 0 0 0 776
0 23808 0 20128 0 0 0 798
0 23567 0 20103 0 0 0 768
0 23723 0 19929 0 0 0 719
0 23720 0 19721 0 0 0 791
0 23492 0 20336 0 0 0 813
0 23572 0 20009 0 0 0 767
0 23535 0 19690 0 0 0 750
0 26300 0 19877 0 0 0 740
0 26246 0 20142 0 0 0 768
0 26158 0 20029 0 0 0 775
0 26146 0 19937 0 0 0 764
0 26329 0 22006 0 0 0 764
