# A B A' B' AB AA' BB' A'B'
0 30597 0 23694 0 0 0 738
0 27820 0 21258 0 0 0 605
0 27787 0 20940 0 0 0 642
0 27482 0 21117 0 0 0 634
0 27925 0 21099 0 0 0 644
0 27779 0 21537 0 0 0 690
0 28106 0 21170 0 0 0 666
0 27880 0 21035 0 0 0 646
0 27951 0 21136 0 0 0 624
0 27817 0 21214 0 0 0 647
0 27789 0 21210 0 0 0 658
0 27792 0 21459 0 0 0 650
0 27669 0 20840 0 0 0 601
0 27847 0 21418 0 0 0 628
0 27830 0 21057 0 0 0 677
0 28000 0 21020 0 0 0 662
0 27809 0 20975 0 0 0 635
0 27851 0 21531 0 0 0 632
0 27458 0 21072 0 0 0 695
0 27543 0 21536 0 0 0 675
0 30786 0 21116 0 0 0 638
0 30529 0 21510 0 0 0 689
0 30819 0 21317 0 0 0 673
0 31061 0 21282 0 0 0 618
0 31088 0 23513 0 0 0 643
0 30544 0 23766 0 0 0 656
0 30897 0 23634 0 0 0 617
0 30849 0 23764 0 0 0 614
0 31033 0 23610 0 0 0 647
0 30878 0 23426 0 0 0 600
0 30891 0 23708 0 0 0 659
0 31040 0 23599 0 0 0 696
0 30567 0 23526 0 0 0 708
0 30771 0 23784 0 0 0 721
0 28074 0 21327 0 0 0 673
0 27474 0 21165 0 0 0 659
0 27561 0 21451 0 0 0 659
0 27761 0 21182 0 0 0 620
0 27307 0 21167 0 0 0 636
0 27899 0 21276 0 0 0 630
0 28327 0 21161 0 0 0 667
0 27767 0 21225 0 0 0 679
0 27971 0 21012 0 0 0 639
0 27817 0 21362 0 0 0 639
0 28172 0 21352 0 0 0 667
0 27912 0 21361 0 0 0 710
0 27830 0 21338 0 0 0 674
0 28044 0 21218 0 0 0 694
0 27732 0 21357 0 0 0 677
0 27402 0 20976 0 0 0 657
0 27727 0 21315 0 0 0 675
0 27825 0 21155 0 0 0 633
0 28031 0 21295 0 0 0 673
0 27653 0 21267 0 0 0 681
0 27314 0 21257 0 0 0 688
0 27850 0 21061 0 0 0 631
0 27823 0 21316 0 0 0 650
0 27613 0 21142 0 0 0 687
0 27830 0 21099 0 0 0 661
0 27836 0 21203 0 0 0 674
